किसी	PRP	S
स्थान	NN	I
या	CC	I
क्षेत्र	NN	I
की	PSP	I
जलवायु	NN	I
को	PSP	I
प्रभावित	JJ	I
करने	VM	I
वाले	PSP	I
कारक	NN	I
हैं	VM	I
-	SYM	I
अक्षांश	NN	I
या	CC	I
विषुवत	NNP	I
वृत्त	NN	I
से	PSP	I
दूरी	NN	I
,	SYM	I
समुद्र	NNC	I
तल	NN	I
से	PSP	I
ऊँचाई	NN	I
,	SYM	I
महाद्वीपीयता	NN	I
या	CC	I
समुद्र	NN	I
से	PSP	I
दूरी	NN	I
,	SYM	I
प्रचलित	JJ	I
पवनों	NN	I
का	PSP	I
स्वरूप	NN	I
,	SYM	I
मेघाच्छादन	NNP	I
,	SYM	I
समुद्री	JJ	I
धाराएँ	NN	I
,	SYM	I
पर्वतमालाओं	NN	I
की	PSP	I
स्थिति	NN	I
,	SYM	I
भूमि	NN	I
का	PSP	I
ढाल	NN	I
एवं	CC	I
अभिमुखता	NN	I
,	SYM	I
मिट्टी	NN	I
की	PSP	I
प्रकृति	NN	I
और	CC	I
वनस्पति	NNC	I
आवरण	NN	E
।	SYM	O
